  02,  03,  05,  08,  09,  11,  21,  22,  24,  26,  28,  31,  32,  33,  34,  38,  61,  62,  67,  68,  81,  82,  84, prio02, prio03, prio05, prio08, prio09, prio11, hd02, hd03, hd05, hd08, hd09, hd11, uswtv24,
  12,   0,   0,  12,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   2,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0, 614, 582,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 607, 575,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   0,   0,   0,   0,   0,   0, 565,   0,   0,   0, 597, 565,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   0,   0,   0,   0,   0,   0, 555,   0,   0,   0, 587, 555,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   0,   0,   0,   0,   0,   0, 545,   0,   0,   0, 577, 545,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   0,   0,   0,   0,   0,   0, 536,   0,   0,   0, 568, 536,   0,   0,   0, 578,   0,   0,   0, 306,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   0,   0,   0,   0,   0,   0, 526,   0,   0,   0, 558, 526,   0,   0,   0, 569,   0,   0,   0, 296,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   0,   0,   0,   0,   0,   0, 430,   0,   0,   0, 462, 430,   0,   0,   0, 559,   0,   0,   0, 110,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   0,   0,   0,   0,   0,   0, 429,   0,   0,   0, 461, 429,   0,   0,   0, 549,   0,   0,   0, 100,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   0, 271,   0,   0,   0,   0, 149,   0,   0,   0,  44, 149,   0,   0,   0, 373,   0,   0,   0,  90,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,  -3, 261,   0,   0,   0,   0, 139,   0,   0,   0,  35, 139,   0,   0,   0, 126,   0,   0,   0,  80,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,  -3, 233,   0,   0,   0,   0,  84,   0,   0,   0,  25,  84,   0,   0,   0, 116,   0,   0,   0,  25,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
